Date,Pageviews,Clicks,Enrollments,Payments
"Sat, Oct 11",7716.0,686.0,105.0,34.0
"Sun, Oct 12",9288.0,785.0,116.0,91.0
"Mon, Oct 13",10480.0,884.0,145.0,79.0
"Tue, Oct 14",9867.0,827.0,138.0,92.0
"Wed, Oct 15",9793.0,832.0,140.0,94.0
"Thu, Oct 16",9500.0,788.0,129.0,61.0
"Fri, Oct 17",9088.0,780.0,127.0,44.0
"Sat, Oct 18",7664.0,652.0,94.0,62.0
"Sun, Oct 19",8434.0,697.0,120.0,77.0
"Mon, Oct 20",10496.0,860.0,153.0,98.0
"Tue, Oct 21",10551.0,864.0,143.0,71.0
"Wed, Oct 22",9737.0,801.0,128.0,70.0
"Thu, Oct 23",8176.0,642.0,122.0,68.0
"Fri, Oct 24",9402.0,697.0,194.0,94.0
"Sat, Oct 25",8669.0,669.0,127.0,81.0
"Sun, Oct 26",8881.0,693.0,153.0,101.0
"Mon, Oct 27",9655.0,771.0,213.0,119.0
"Tue, Oct 28",9396.0,736.0,162.0,120.0
"Wed, Oct 29",9262.0,727.0,201.0,96.0
"Thu, Oct 30",9308.0,728.0,207.0,67.0
"Fri, Oct 31",8715.0,722.0,182.0,123.0
"Sat, Nov 1",8448.0,695.0,142.0,100.0
"Sun, Nov 2",8836.0,724.0,182.0,103.0
"Mon, Nov 3",9359.0,789.0,,
"Tue, Nov 4",9427.0,743.0,,
"Wed, Nov 5",9633.0,808.0,,
"Thu, Nov 6",9842.0,831.0,,
"Fri, Nov 7",9272.0,767.0,,
"Sat, Nov 8",8969.0,760.0,,
"Sun, Nov 9",9697.0,850.0,,
"Mon, Nov 10",10445.0,851.0,,
"Tue, Nov 11",9931.0,831.0,,
"Wed, Nov 12",10042.0,802.0,,
"Thu, Nov 13",9721.0,829.0,,
"Fri, Nov 14",9304.0,770.0,,
"Sat, Nov 15",8668.0,724.0,,
"Sun, Nov 16",8988.0,710.0,,
